schedule_id,train_id,section_id,date,arrival_time,departure_time
1,1,1,2026-09-02,10:20,10:15
2,2,1,2026-09-02,11:05,11:00
3,3,1,2026-09-02,11:35,11:30
4,1,2,2026-09-02,14:05,14:00

5,1,1,2026-09-03,10:20,10:15
6,2,1,2026-09-03,11:05,11:00
7,3,1,2026-09-03,11:35,11:30
8,1,2,2026-09-03,14:05,14:00

9,1,1,2026-09-04,10:20,10:15
10,2,1,2026-09-04,11:05,11:00
11,3,1,2026-09-04,11:35,11:30
12,1,2,2026-09-04,14:05,14:00

13,1,1,2026-09-05,10:20,10:15
14,2,1,2026-09-05,11:05,11:00
15,3,1,2026-09-05,11:35,11:30
16,1,2,2026-09-05,14:05,14:00

17,1,1,2026-09-06,10:20,10:15
18,2,1,2026-09-06,11:05,11:00
19,3,1,2026-09-06,11:35,11:30
20,1,2,2026-09-06,14:05,14:00

21,1,1,2026-09-07,10:20,10:15
22,2,1,2026-09-07,11:05,11:00
23,3,1,2026-09-07,11:35,11:30
24,1,2,2026-09-07,14:05,14:00

25,1,1,2026-09-08,10:20,10:15
26,2,1,2026-09-08,11:05,11:00
27,3,1,2026-09-08,11:35,11:30
28,1,2,2026-09-08,14:05,14:00
