asset_age_years,criticality_score,open_defect_count,highest_defect_severity,active_task_count,highest_task_severity,days_overdue,total_task_duration,risk_label
2,40,0,0,1,25,39,1.92,1
23,50,1,5,0,0,0,0.0,1
20,25,1,25,1,35,0,5.24,1
13,25,0,0,3,35,0,6.06,1
13,50,0,0,1,15,21,7.41,1
26,40,0,0,0,0,0,0.0,0
2,40,1,25,0,0,0,0.0,0
21,40,1,25,0,0,0,0.0,1
6,25,1,25,1,35,0,4.72,1
2,40,0,0,0,0,0,0.0,0
16,10,0,0,2,35,0,2.57,0
30,25,0,0,1,35,0,1.03,1
22,40,0,0,1,25,0,2.5,1
23,40,1,15,1,5,0,5.14,1
22,50,0,0,1,35,39,7.81,1
24,25,0,0,1,25,18,1.09,1
15,10,3,25,0,0,38,0.0,1
3,50,2,5,2,25,0,3.41,1
26,25,1,35,0,0,23,0.0,1
13,25,0,0,0,0,30,0.0,0
15,25,1,5,2,5,0,5.5,0
11,40,1,25,1,15,11,4.81,1
5,50,2,5,0,0,0,0.0,0
28,40,0,0,1,25,58,5.39,1
24,40,0,0,2,15,0,3.97,1
19,25,0,0,2,25,45,2.5,1
12,25,2,35,1,35,0,4.12,1
25,40,0,0,0,0,0,0.0,0
16,10,1,15,1,25,7,3.36,0
13,25,1,35,0,0,29,0.0,1
13,25,0,0,1,5,0,5.82,0
7,10,1,5,3,15,0,1.79,0
2,40,1,35,1,25,28,4.22,1
17,40,2,25,0,0,0,0.0,1
27,10,0,0,2,35,54,7.69,1
1,40,2,15,0,0,0,0.0,0
26,40,0,0,1,25,0,4.49,1
25,40,1,15,2,35,0,2.28,1
8,50,2,25,1,35,46,7.52,1
19,25,1,35,0,0,53,0.0,1
5,50,0,0,3,15,29,2.33,1
23,25,1,35,1,25,10,6.13,1
21,25,0,0,0,0,0,0.0,0
10,25,1,15,0,0,0,0.0,0
2,40,1,25,1,25,44,1.32,1
30,25,1,15,1,25,14,6.89,1
13,25,3,15,3,25,0,1.85,1
27,40,2,25,2,25,0,3.46,1
21,25,3,25,0,0,0,0.0,1
24,25,1,15,0,0,39,0.0,1
23,10,0,0,1,25,25,7.74,0
6,25,0,0,1,25,21,4.85,0
11,25,1,35,0,0,0,0.0,0
